"gene_id","SAMEA4497164_output_filtered.bam","SAMEA4497165_output_filtered.bam","SAMEA4497166_output_filtered.bam","SAMEA4497167_output_filtered.bam"
"PVP01_0831400",123,104,182,144
"PVP01_1232400",10787,9215,9172,8687
"PVP01_0914100",111,259,324,331
"PVP01_0008680",0,0,0,0
"PVP01_0309100",213,231,56,137
"PVP01_0512900",15,14,16,21
"PVP01_1436000",7779,7688,8320,6776
"PVP01_0209300",34,39,42,42
"PVP01_0826500",5988,6268,6719,7463
"PVP01_0004620",0,0,0,0
"PVP01_1318400",1579,2814,2244,2888
"PVP01_1470300",24,22,65,12
"PVP01_1302000",335,462,320,582
"PVP01_1004900",383,211,587,509
"PVP01_0941400",2764,2936,4336,3519
"PVP01_1250900",459,325,295,447
"PVP01_1005700",1115,1127,801,1806
"PVP01_0833600",46,61,53,62
"PVP01_1026600",168,118,124,154
"PVP01_1131700",2,11,9,6
"PVP01_1403600",3083,1542,1928,2146
"PVP01_0303000",100,71,632,168
"PVP01_0005690",0,0,0,0
"PVP01_1021900",0,1,0,2
"PVP01_0009930",0,0,0,0
"PVP01_0941700",1883,1369,2702,1960
"PVP01_1028700",8180,7952,8012,10645
"PVP01_0816000",822,1345,1223,1102
"PVP01_1000800",624,259,297,316
"PVP01_0008850",0,0,0,0
"PVP01_0009230",0,0,0,0
"PVP01_1454500",1173,890,1158,1510
"PVP01_0712500",126,121,201,186
"PVP01_1439800",620,416,1201,270
"PVP01_0007900",0,0,0,0
"PVP01_0420700",353,24,74,171
"PVP01_0714700",15554,15445,10300,11778
"PVP01_0900800",773,630,532,460
"PVP01_1134900",883,801,1364,945
"PVP01_0609400",201,73,36,144
"PVP01_0819100",1750,2384,2095,2143
"PVP01_1427500",1309,1277,1065,1475
"PVP01_1226800",586,488,708,617
"PVP01_0109100",3022,4683,3219,4573
"PVP01_0303700",971,878,664,972
"PVP01_0614100",3826,2937,2765,3412
"PVP01_1256200",1254,1192,1123,1356
