"gene_id","SAMEA4497164_output_filtered.bam","SAMEA4497165_output_filtered.bam","SAMEA4497166_output_filtered.bam","SAMEA4497167_output_filtered.bam"
"PVP01_0405100",954,1465,1042,1250
"PVP01_0006490",0,0,0,0
"PVP01_1454300",1695,1120,1601,1545
"PVP01_0004530",0,0,0,0
"PVP01_1228100",745,1447,761,977
"PVP01_1266800",0,0,0,0
"PVP01_0604700",4473,5205,3078,6534
"PVP01_0906200",369,173,339,370
"PVP01_0708300",210,136,260,246
"PVP01_1441700",2988,2303,2841,3289
"PVP01_1011800",8010,5266,4777,5239
"PVP01_0804200",134,103,176,185
"PVP01_0006970",0,0,0,0
"PVP01_1432900",5631,5187,13487,10575
"PVP01_0007040",0,0,0,0
"PVP01_0934600",2187,1588,1824,2895
"PVP01_0701400",3643,2929,2376,2952
"PVP01_0318100",316,164,99,265
"PVP01_1019000",252,256,238,308
"PVP01_0606200",106,115,77,62
"PVP01_1449700",38,34,68,59
"PVP01_0008020",0,0,0,0
"PVP01_0918600",53,36,80,64
"PVP01_0726200",480,567,398,796
"PVP01_1321400",0,0,0,0
"PVP01_1337400",1228,1280,990,1865
"PVP01_1457700",2,0,0,1
"PVP01_1007900",1569,1727,2256,2024
"PVP01_0919400",394,335,395,559
"PVP01_1105700",3893,2758,3703,3822
"PVP01_1408900",103,44,30,50
"PVP01_0528900",31,19,46,31
"PVP01_0732500",124,85,570,166
"PVP01_0001510",0,0,0,0
"PVP01_1431900",143,153,121,211
"PVP01_1217000",3265,3561,2925,4021
"PVP01_0924400",420,498,726,634
"PVP01_0801800",316,180,206,167
"PVP01_0006780",0,0,0,0
"PVP01_0006660",0,0,0,0
"PVP01_1234900",2671,1948,2596,2134
"PVP01_0825000",106,78,82,61
"PVP01_0303900",7500,8932,5558,10141
"PVP01_0007330",0,0,0,0
"PVP01_1254800",737,476,1298,1039
"PVP01_0010580",0,0,0,0
"PVP01_0111600",1111,859,748,1189
"PVP01_1418900",3,16,18,6
"PVP01_0002580",0,0,0,0
"PVP01_0005450",0,0,0,0
"PVP01_0929900",172,257,257,285
"PVP01_1007250",198,146,214,170
"PVP01_0009190",0,0,0,0
"PVP01_1207100",2492,1874,3974,3961
"PVP01_0738800",0,0,0,0
"PVP01_1328800",4097,3730,3619,3415
"PVP01_1315800",875,816,1550,2195
"PVP01_0309300",4345,2795,2616,3069
"PVP01_1253600",313,253,197,481
"PVP01_0001790",0,0,0,0
"PVP01_1251300",556,617,1045,1421
"PVP01_1341700",305,188,272,303
"PVP01_MIT03100",2,2,9,8
"PVP01_1214900",263,318,527,454
"PVP01_1330100",26,43,64,65
"PVP01_1108300",564,279,526,428
"PVP01_0213600",1710,870,2665,618
"PVP01_1330600",2291,2358,2153,2940
"PVP01_0103300",105,151,197,98
"PVP01_0304700",6269,7220,5569,7039
"PVP01_1466700",115,63,291,118
"PVP01_1112100",16,29,38,23
"PVP01_0206200",2947,1776,4010,1838
"PVP01_1258700",1569,1044,1448,1457
"PVP01_0001620",0,0,0,0
"PVP01_0003510",0,0,0,0
"PVP01_0837000",292,311,368,243
"PVP01_1414000",1853,1451,1438,1781
"PVP01_0000040",0,0,0,0
"PVP01_0207400",5938,5887,3691,4806
"PVP01_0931100",6,6,3,1
"PVP01_0008470",0,0,0,0
"PVP01_1104200",2541,2244,2555,2412
"PVP01_0622100",24,25,45,56
"PVP01_1421600",57,53,41,177
"PVP01_1263400",122,100,66,26
"PVP01_0940300",8655,11028,13140,9815
"PVP01_1309700",305,207,494,361
"PVP01_1448300",682,394,326,422
"PVP01_1257600",1038,619,846,1073
"PVP01_1331200",555,347,624,373
"PVP01_0000510",0,0,0,0
"PVP01_1307500",992,628,788,882
"PVP01_0002680",0,0,0,0
"PVP01_0005830",0,0,0,0
"PVP01_1446900",1975,4152,1417,4231
"PVP01_1244500",26575,23452,28141,26222
"PVP01_0417200",1671,1249,2029,5109
"PVP01_0712400",1670,2109,1335,1697
"PVP01_0817500",9818,9545,12454,9320
"PVP01_0936000",595,269,313,406
"PVP01_0727100",1,0,0,0
"PVP01_1338300",163,72,168,186
"PVP01_0922900",1542,1026,1497,1983
"PVP01_0309000",85,136,131,160
"PVP01_1406400",1362,1292,1486,1178
"PVP01_0404200",1324,931,1086,1266
"PVP01_1405200",61,47,83,79
"PVP01_0527100",152,18,18,44
"PVP01_0620300",19509,16562,12771,19093
"PVP01_1342200",1624,1110,1419,1317
"PVP01_0010650",0,0,0,0
"PVP01_1468100",55,79,83,110
"PVP01_1462700",3881,4279,4899,6064
"PVP01_0516000",1555,1160,1735,2039
"PVP01_0912600",136,300,196,467
"PVP01_0009970",0,0,0,0
"PVP01_0010460",0,0,0,0
"PVP01_1033900",0,0,0,0
"PVP01_0117600",3600,3267,3689,2715
"PVP01_0300100",27,21,45,14
"PVP01_0312200",0,0,0,0
"PVP01_0908600",545,431,499,601
"PVP01_0220700",0,0,0,0
"PVP01_0007920",0,0,0,0
"PVP01_1137300",180,187,195,143
"PVP01_0942600",23,10,16,15
"PVP01_1237000",313,308,194,205
"PVP01_1033700",0,0,0,0
"PVP01_0732100",108,212,331,158
"PVP01_0000060",0,0,0,0
"PVP01_0109200",674,896,908,1075
"PVP01_0302900",1714,2137,2699,2193
"PVP01_0008360",0,0,0,0
"PVP01_0736700",0,0,0,0
"PVP01_0724400",1832,2004,2227,3074
"PVP01_1331000",0,0,0,0
"PVP01_0002460",0,0,0,0
"PVP01_0919100",2428,2888,2451,2275
"PVP01_0616400",1830,2045,1900,2101
"PVP01_0303400",2263,1957,2338,2685
"PVP01_1143300",1660,1845,2054,1208
"PVP01_1453500",3612,2436,2033,3966
"PVP01_1004300",5,5,4,12
"PVP01_1273400",0,0,0,0
"PVP01_0610700",8823,11009,12819,10611
"PVP01_0308000",699,531,901,965
"PVP01_1008500",232,153,312,356
"PVP01_0534400",0,0,0,0
"PVP01_0005010",0,0,0,0
"PVP01_1200700",20,32,49,17
"PVP01_1266500",2,4,10,121
"PVP01_MIT01200",248,396,536,1070
"PVP01_0001880",0,0,0,0
"PVP01_0200100",13,5,4,31
"PVP01_1255700",1078,973,1014,1287
"PVP01_1433000",1112,1312,1234,1465
"PVP01_1025400",252,315,287,257
"PVP01_1101800",0,1,2,0
"PVP01_0006520",0,0,0,0
"PVP01_1274600",0,0,0,0
"PVP01_0519700",748,904,975,1000
"PVP01_0001660",0,0,0,0
"PVP01_0318300",105,90,193,131
"PVP01_0309500",77,40,47,63
"PVP01_0809900",6251,3943,3441,5842
"PVP01_0501200",79,76,133,41
"PVP01_1016300",784,671,602,951
"PVP01_0006820",0,0,0,0
"PVP01_0724600",1309,1230,1719,1850
"PVP01_1333900",103,112,113,169
"PVP01_0917400",1477,726,1033,1200
"PVP01_1412500",875,378,1404,693
"PVP01_1136000",87,92,121,175
"PVP01_1433900",141,149,243,220
"PVP01_0002280",0,0,0,0
"PVP01_1011200",291,223,270,253
"PVP01_0313800",5099,5030,4738,5561
"PVP01_1436600",117,94,123,101
"PVP01_0622500",1588,1896,1887,1867
"PVP01_0305100",5359,4077,4932,5490
"PVP01_0115700",711,859,561,969
"PVP01_1403900",330,243,411,484
"PVP01_0214800",2560,1695,1961,1944
"PVP01_1017800",317,197,298,338
"PVP01_1010700",830,725,401,632
"PVP01_0007030",0,0,0,0
"PVP01_1337700",1828,1194,2939,1312
"PVP01_0410800",10469,11438,13951,9975
"PVP01_0114000",1255,1717,1614,1565
"PVP01_1140200",896,758,550,808
"PVP01_0916450",120,133,335,209
"PVP01_0620100",4462,2620,3113,4413
"PVP01_1148500",0,0,0,0
"PVP01_1024800",114,72,129,160
"PVP01_0109000",22,15,17,26
"PVP01_1320200",1009,897,388,900
"PVP01_0005520",0,0,0,0
"PVP01_0533500",0,0,0,0
"PVP01_1435000",148,156,256,272
"PVP01_1270600",20,40,31,45
"PVP01_1102800",9061,9372,6875,10843
"PVP01_0827900",183,106,158,120
"PVP01_0730800",758,399,472,547
"PVP01_1329200",1080,665,543,672
"PVP01_0412100",1563,1472,895,1400
"PVP01_0527700",43,43,99,18
"PVP01_1117300",50,61,91,65
"PVP01_1457100",918,436,1202,960
"PVP01_1341800",661,459,771,662
"PVP01_1313800",166,270,273,665
"PVP01_0103200",1841,2386,1817,2879
"PVP01_0735200",2,2,5,0
"PVP01_0726300",5749,7328,6681,10067
"PVP01_0107500",158,94,193,143
"PVP01_0737800",0,0,0,0
"PVP01_0924800",3369,2746,2321,2613
"PVP01_0528300",3392,4850,3187,4636
"PVP01_MIT01000",4,9,22,10
"PVP01_0003150",0,0,0,0
"PVP01_0605300",243,190,342,385
"PVP01_1424400",3412,1520,1920,1797
"PVP01_0010360",0,0,0,0
"PVP01_0915400",1474,882,1739,1607
"PVP01_0003020",0,0,0,0
"PVP01_1225800",1510,1268,1965,1547
"PVP01_1031200",644,304,475,239
"PVP01_0503000",0,0,0,0
"PVP01_0418800",50515,46942,84803,40882
"PVP01_0001520",0,0,0,0
"PVP01_1407400",6755,4503,5925,5449
"PVP01_1332100",19,14,25,27
"PVP01_0008440",0,0,0,0
"PVP01_0830200",128,191,140,266
"PVP01_0945100",0,0,0,0
"PVP01_1214700",129,223,343,120
"PVP01_1102400",3,2,3,2
"PVP01_0920700",671,452,1330,472
"PVP01_1468600",826,1201,1241,1050
"PVP01_1265000",2918,1984,1724,1836
"PVP01_0714600",1057,860,779,1093
"PVP01_0004220",0,0,0,0
"PVP01_0710300",618,315,1349,326
"PVP01_0006350",0,0,0,0
"PVP01_0733300",1518,1975,1364,1435
"PVP01_1411600",267,326,531,606
"PVP01_1264000",310,77,208,232
"PVP01_0002910",0,0,0,0
"PVP01_1201000",126,70,179,63
"PVP01_0416600",1496,1038,771,1058
"PVP01_0501300",177,126,253,146
"PVP01_1219400",72,46,55,75
"PVP01_1420900",1737,1514,2225,1550
"PVP01_1433400",65,83,138,187
"PVP01_0311000",214,154,117,186
"PVP01_0916500",4,0,2,4
"PVP01_1447100",2208,2609,2272,1309
"PVP01_1453000",227,405,300,351
"PVP01_0535100",0,0,0,0
"PVP01_0833900",3,33,42,81
"PVP01_0602300",2456,2706,2394,1927
"PVP01_1405000",929,797,1226,1075
"PVP01_0604400",10,8,6,10
"PVP01_0500500",151,240,277,182
"PVP01_1008700",2460,3150,2827,2966
"PVP01_0006030",0,0,0,0
"PVP01_1204400",1259,1373,1633,1088
"PVP01_1134800",1567,1475,1123,1491
"PVP01_1011400",711,512,600,400
"PVP01_0914000",18,26,34,14
"PVP01_0800100",2186,974,3661,1799
"PVP01_0105100",548,426,472,653
"PVP01_0830500",635,318,314,352
"PVP01_0921200",5267,2962,4085,4521
"PVP01_1464600",294,334,489,885
"PVP01_1327500",116,65,248,79
"PVP01_1141900",2678,2408,3184,3223
"PVP01_0009070",0,0,0,0
"PVP01_0001800",0,0,0,0
"PVP01_1135000",524,236,396,315
"PVP01_1227200",1,2,2,10
"PVP01_0815200",1570,1612,850,1062
"PVP01_1446100",234,120,173,413
"PVP01_0000010",0,0,0,0
"PVP01_1248500",270,191,92,124
"PVP01_1447200",2886,3720,3210,2734
"PVP01_1317900",3206,2813,3249,4113
"PVP01_1307000",0,0,1,0
"PVP01_0000780",0,0,0,0
"PVP01_1231100",581,343,658,459
"PVP01_0814500",81,58,76,59
"PVP01_1320700",2087,3479,2000,2460
"PVP01_0522200",1422,722,1692,973
"PVP01_1446800",690,1126,595,922
"PVP01_0718100",63,72,100,84
"PVP01_0202000",223,178,606,229
"PVP01_1243000",1,0,0,0
"PVP01_0003250",0,0,0,0
"PVP01_0811700",199,288,536,510
"PVP01_1325400",465,397,377,421
"PVP01_1333400",831,556,1295,774
"PVP01_1137900",1281,1036,1022,1031
"PVP01_1136100",379,94,329,350
"PVP01_1458700",520,349,532,400
"PVP01_0411600",1265,1096,1224,1468
"PVP01_1231800",64,56,89,53
"PVP01_1217300",2097,1561,2579,2291
"PVP01_0002640",0,0,0,0
"PVP01_1136600",6,10,19,18
"PVP01_0947200",0,0,0,0
"PVP01_1453900",5103,5055,3964,5058
"PVP01_0003690",0,0,0,0
"PVP01_0108300",35,62,38,36
"PVP01_1238600",100,101,471,143
"PVP01_0001540",0,0,0,0
"PVP01_0923700",5863,9820,7531,9167
"PVP01_1467000",761,1053,2469,2823
"PVP01_0002850",0,0,0,0
"PVP01_0625000",0,0,0,0
"PVP01_1274500",0,0,0,0
"PVP01_API01000",0,0,0,0
"PVP01_1471300",460,71,469,154
"PVP01_MIT03400",2,6,8,15
"PVP01_1130300",6332,8259,8314,6320
"PVP01_1221800",3743,3658,4854,5536
"PVP01_0818000",9671,8298,5602,7920
"PVP01_1449300",5,0,3,0
"PVP01_1034900",0,0,0,0
"PVP01_0300500",314,214,220,283
"PVP01_1141100",2062,1807,1655,2301
"PVP01_0008970",0,0,0,0
"PVP01_1131800",389,392,518,651
"PVP01_1227300",239,206,308,338
"PVP01_0820000",1000,805,889,1126
"PVP01_0800800",2,2,0,1
"PVP01_0003350",0,0,0,0
"PVP01_1005200",12,8,34,24
"PVP01_0005470",0,0,0,0
"PVP01_1319000",185,179,148,211
"PVP01_0517700",2,4,0,4
"PVP01_0528200",2748,2224,4508,3854
"PVP01_0315700",48,42,73,111
"PVP01_0107800",158,84,90,191
"PVP01_0403900",143,120,171,212
"PVP01_0506400",207,13,250,802
"PVP01_0307500",1202,691,1393,1724
"PVP01_1111800",350,292,890,786
"PVP01_0927800",573,551,585,664
"PVP01_0802800",395,289,546,305
"PVP01_0718800",2985,3579,2590,3763
"PVP01_0003550",0,0,0,0
"PVP01_1345700",2649,2313,2386,2931
"PVP01_1325500",2864,3249,3651,3574
"PVP01_0829800",4233,2918,3222,3647
"PVP01_0102700",859,1224,1409,1462
"PVP01_1128800",133,98,15,10
"PVP01_0712300",1588,1795,1510,1547
"PVP01_0943500",37,15,23,20
"PVP01_0721500",826,1170,827,1193
"PVP01_0940200",1214,1513,1103,1459
"PVP01_0904600",1933,1443,1868,2137
"PVP01_0915500",1813,986,1187,1588
"PVP01_0702400",279,255,446,240
"PVP01_0120300",0,0,0,0
"PVP01_1458100",40,33,18,16
"PVP01_1028400",750,717,894,523
"PVP01_1445200",5,8,4,2
"PVP01_0906800",655,398,468,418
"PVP01_1127500",990,1151,976,1300
"PVP01_1035900",0,0,0,0
"PVP01_0316900",1925,1602,1647,2246
"PVP01_1457800",31,47,40,76
"PVP01_0000530",0,0,0,0
"PVP01_0833200",20,20,37,38
"PVP01_0009090",0,0,0,0
"PVP01_0717600",1808,2350,1836,2421
"PVP01_1021300",235,276,619,532
"PVP01_0009660",0,0,0,0
"PVP01_0005330",0,0,0,0
"PVP01_0308300",169,56,39,112
"PVP01_0004570",0,0,0,0
"PVP01_0414800",36,33,37,59
"PVP01_1023800",1617,1785,1955,3049
"PVP01_1409000",155,218,213,212
"PVP01_1032400",21,128,9,19
"PVP01_0828900",1209,676,1304,1125
"PVP01_0801500",697,1208,707,833
"PVP01_1448500",1317,1800,1073,2409
"PVP01_1008000",3,0,1,2
"PVP01_0001670",0,0,0,0
"PVP01_1261700",1347,1001,1274,1196
"PVP01_1025600",44,30,20,30
"PVP01_1467800",663,591,685,547
"PVP01_1023100",32,43,36,81
"PVP01_0927500",205,177,179,268
"PVP01_0941100",160,177,195,269
"PVP01_1215500",4275,3883,3367,4253
"PVP01_0009900",0,0,0,0
"PVP01_0008570",0,0,0,0
"PVP01_1347400",0,0,0,0
"PVP01_1469100",66,43,32,65
"PVP01_0001860",0,0,0,0
"PVP01_0402000",52,3,73,10
"PVP01_1322700",1300,1638,1562,1594
"PVP01_1455300",2800,2636,2137,3725
"PVP01_1302800",1143,778,1611,1573
"PVP01_1231500",5,4,2,13
"PVP01_1319600",2600,2376,4707,4293
"PVP01_1466400",639,510,593,621
"PVP01_1407900",1386,764,1165,928
"PVP01_0000640",0,0,0,0
"PVP01_0005110",0,0,0,0
"PVP01_0005650",0,0,0,0
"PVP01_1317800",660,2182,1000,3759
"PVP01_1119400",296,192,245,210
"PVP01_1019300",181,299,231,241
"PVP01_1438100",997,751,1350,1081
"PVP01_0511700",2295,1933,1101,1886
"PVP01_0116600",1016,662,1719,545
"PVP01_0509000",299,331,454,346
"PVP01_0808700",472,421,540,354
"PVP01_0501000",6,2,0,0
"PVP01_1267400",3,1,0,2
"PVP01_0004630",0,0,0,0
"PVP01_1319100",4365,5111,3361,5801
"PVP01_0813500",1596,1066,1018,1212
"PVP01_1103800",2765,2628,2514,3301
"PVP01_1455900",413,587,284,326
"PVP01_0946800",0,0,0,0
"PVP01_0105300",2282,2396,3147,2679
"PVP01_0608700",52,10,122,15
"PVP01_1450200",1561,1153,1752,1766
"PVP01_1117700",2698,2633,2430,3143
"PVP01_0517500",22,18,30,36
"PVP01_1112500",1006,509,900,1039
"PVP01_0009490",0,0,0,0
"PVP01_0412000",83,99,196,108
"PVP01_0305200",12,18,54,15
"PVP01_1144800",1153,754,679,828
"PVP01_0508300",1479,1521,1510,1942
"PVP01_0408400",596,416,370,490
"PVP01_0830400",2119,1353,1201,1638
"PVP01_API03600",0,0,0,0
"PVP01_0009410",0,0,0,0
"PVP01_0947100",0,0,0,0
"PVP01_0118200",2,12,16,6
"PVP01_0004370",0,0,0,0
"PVP01_0316300",1535,1248,1117,1343
"PVP01_1410200",756,740,878,1244
"PVP01_0006310",0,0,0,0
"PVP01_0000350",0,0,0,0
"PVP01_1252700",1073,1326,976,1345
"PVP01_0005890",0,0,0,0
"PVP01_1412700",14,9,11,11
"PVP01_0728300",0,0,0,0
"PVP01_0834600",2022,1897,1559,2535
"PVP01_1023600",346,375,244,338
"PVP01_0520000",351,197,704,326
"PVP01_0121600",0,0,0,0
"PVP01_0112500",1,1,0,0
"PVP01_0522100",22,11,44,17
"PVP01_1230400",3884,3576,3510,4789
"PVP01_0722000",422,238,613,507
"PVP01_1402200",238,128,585,74
"PVP01_0807800",4416,4783,4520,4488
"PVP01_0010890",0,0,0,0
"PVP01_1105400",1792,1649,2323,1865
"PVP01_0422800",0,0,0,0
"PVP01_0006260",0,0,0,0
"PVP01_0601400",340,926,424,711
"PVP01_1213100",114,180,387,416
"PVP01_0001560",0,0,0,0
"PVP01_1336700",244,205,227,261
"PVP01_0905600",1890,2068,1868,2368
"PVP01_0218300",0,0,0,0
"PVP01_0521100",40,48,37,48
"PVP01_0721900",1991,1610,1969,2567
"PVP01_1461000",1238,1358,917,1179
"PVP01_0822200",97,219,163,208
"PVP01_0828300",944,1081,1109,1196
"PVP01_0718700",652,652,555,761
"PVP01_0002080",0,0,0,0
"PVP01_0214600",573,451,740,481
"PVP01_1013700",208,313,464,361
"PVP01_0516200",505,348,324,467
"PVP01_0002390",0,0,0,0
"PVP01_0007440",0,0,0,0
"PVP01_1431000",2813,1945,2818,3061
"PVP01_1443700",1589,1172,914,1234
"PVP01_0320000",34,30,28,20
"PVP01_0308800",1407,1295,1028,1036
"PVP01_0111100",113,3,105,346
"PVP01_0111800",707,546,846,868
"PVP01_0416400",10566,7309,6531,9076
"PVP01_0008140",0,0,0,0
"PVP01_0703100",1124,1182,1068,673
"PVP01_0806500",3467,3872,4265,3199
"PVP01_0115900",92,59,127,182
"PVP01_0819300",40,39,25,104
"PVP01_0208700",3984,4775,3713,4309
"PVP01_0006450",0,0,0,0
"PVP01_1117100",505,554,557,631
"PVP01_0401600",7,8,10,8
"PVP01_0006280",0,0,0,0
"PVP01_1440900",159,163,242,169
"PVP01_0003790",0,0,0,0
"PVP01_1211000",32439,24554,24224,25500
"PVP01_1125400",1169,698,888,1003
"PVP01_0116700",1378,1476,2561,1149
"PVP01_1027000",56,76,192,88
"PVP01_0419000",36,35,104,54
"PVP01_1134600",1455,1610,1603,2205
"PVP01_0002010",0,0,0,0
"PVP01_1270800",3399,1712,2152,1607
"PVP01_0003980",0,0,0,0
"PVP01_0732700",438,240,1117,148
"PVP01_0000070",0,0,0,0
"PVP01_1427000",153,235,334,218
"PVP01_1445800",1539,2584,2122,1969
"PVP01_0812700",7580,5618,8404,6999
"PVP01_1022400",127,140,193,128
"PVP01_0933700",77,78,101,74
"PVP01_0504200",26,25,23,37
"PVP01_0009950",0,0,0,0
"PVP01_1262600",98,85,165,113
"PVP01_1423300",4689,2320,3988,3741
"PVP01_1032500",4,1,3,0
"PVP01_0301400",28,5,17,21
"PVP01_0004920",0,0,0,0
"PVP01_0710700",514,660,747,573
"PVP01_1124500",1380,851,1741,1040
"PVP01_1103700",2885,2405,3072,2613
"PVP01_0831000",210,178,212,396
"PVP01_1409800",107,90,196,104
"PVP01_1405900",200,134,82,173
"PVP01_0617100",3761,2576,3673,3639
"PVP01_0006320",0,0,0,0
"PVP01_1334700",42,24,115,46
"PVP01_0218400",0,0,0,0
"PVP01_0001410",0,0,0,0
"PVP01_0001680",0,0,0,0
"PVP01_1305900",34,18,76,77
"PVP01_0009820",0,0,0,0
"PVP01_0517400",41,21,37,34
"PVP01_1220500",378,285,435,426
"PVP01_1306900",10,29,59,52
"PVP01_1025200",12,15,16,22
"PVP01_0006540",0,0,0,0
"PVP01_0407000",49,30,116,23
"PVP01_MIT01800",0,1,7,4
"PVP01_0004130",0,0,0,0
"PVP01_0800700",254,292,397,331
"PVP01_1224900",798,523,504,770
"PVP01_0311100",1989,1377,1113,1861
"PVP01_0723600",2941,1954,1981,2538
"PVP01_1226000",0,0,0,0
"PVP01_1209400",1749,2825,3275,1529
"PVP01_0526200",281,516,464,301
"PVP01_API02600",0,0,0,0
"PVP01_0009780",0,0,0,0
"PVP01_0830000",8441,11272,9447,11382
"PVP01_0306000",2349,2888,2218,3185
"PVP01_1100600",18,26,28,19
"PVP01_0907100",490,360,669,584
"PVP01_0931000",0,0,0,0
"PVP01_0424000",0,0,0,0
"PVP01_0407600",1985,1934,1200,2278
"PVP01_0209800",545,418,522,729
"PVP01_1347600",0,0,0,0
"PVP01_0203100",0,0,0,0
"PVP01_0001780",0,0,0,0
"PVP01_1273000",0,0,0,0
"PVP01_0801000",173,69,248,68
"PVP01_0521000",335,279,751,117
"PVP01_0720900",7529,6699,6893,7432
"PVP01_0404900",31,29,29,21
"PVP01_0102500",530,436,613,483
"PVP01_0617900",585,434,855,644
"PVP01_1113900",2670,2154,4458,2002
"PVP01_0204100",1185,1357,963,1474
"PVP01_0804700",184,114,104,186
"PVP01_0819400",1288,1844,1632,1760
"PVP01_0912900",4792,2975,4579,4529
"PVP01_0000250",0,0,0,0
"PVP01_0907900",3514,4261,5535,4353
"PVP01_0001320",0,0,0,0
"PVP01_0820400",414,723,1090,1468
"PVP01_1013500",2188,2376,1806,2160
"PVP01_1309900",2275,2686,2084,2813
"PVP01_1212400",36,63,82,41
"PVP01_0929800",4,3,15,10
"PVP01_1116700",2082,1450,1585,1631
"PVP01_0517800",59,52,44,60
"PVP01_1106800",990,895,537,767
"PVP01_0610400",1154,669,640,574
"PVP01_1318700",448,580,525,608
"PVP01_0007430",0,0,0,0
"PVP01_1128400",2896,2313,1769,2248
"PVP01_0813900",1595,1652,1930,1671
"PVP01_0008290",0,0,0,0
"PVP01_1211600",85,56,218,98
"PVP01_0009320",0,0,0,0
"PVP01_0818900",3320,3664,3163,4207
"PVP01_0114100",335,467,289,468
"PVP01_0617200",1001,1048,1240,1155
"PVP01_1235300",942,612,878,799
"PVP01_0206400",643,522,471,714
"PVP01_0533100",0,0,0,0
"PVP01_0002440",0,0,0,0
"PVP01_0000620",0,0,0,0
"PVP01_0113900",1569,1369,2002,2257
"PVP01_1260200",710,410,375,387
"PVP01_0618100",641,519,1483,1149
"PVP01_1002800",452,445,366,537
"PVP01_0005240",0,0,0,0
"PVP01_1137700",763,572,662,586
"PVP01_1015700",171,146,381,98
"PVP01_1449600",2109,1831,2145,2283
"PVP01_1030700",111,76,112,166
"PVP01_0009050",0,0,0,0
"PVP01_0005350",0,0,0,0
"PVP01_0808800",26,21,71,22
"PVP01_0804100",200,220,306,326
"PVP01_0940100",3330,2231,2982,2783
"PVP01_1246800",7,9,26,7
"PVP01_0010800",0,0,0,0
"PVP01_1108400",1198,880,1764,1431
"PVP01_0000360",0,0,0,0
"PVP01_1208200",137,89,492,183
"PVP01_1423800",163,135,200,143
"PVP01_1308800",3923,3157,5276,2763
"PVP01_0811200",804,792,897,737
"PVP01_0007580",0,0,0,0
"PVP01_0009720",0,0,0,0
"PVP01_1465600",139,126,117,116
"PVP01_1400500",7,4,0,2
"PVP01_0007950",0,0,0,0
"PVP01_0009270",0,0,0,0
"PVP01_1456000",78,60,266,120
"PVP01_0528700",112,94,78,103
"PVP01_0530200",3100,1920,1709,1694
"PVP01_0921600",2142,2240,3670,2146
"PVP01_0115500",436,385,309,323
"PVP01_0404000",1208,1043,1414,1373
"PVP01_0003590",0,0,0,0
"PVP01_1140100",8,19,21,13
"PVP01_0409100",286,227,198,368
"PVP01_1418600",513,332,319,460
"PVP01_1315200",1,0,168,1
"PVP01_0829400",21,26,37,2
"PVP01_0101900",104,165,200,221
"PVP01_0938000",948,757,794,1014
"PVP01_1209300",70,50,75,56
"PVP01_1225900",0,3,0,1
"PVP01_0924600",1065,1299,1214,1163
"PVP01_1222100",97,35,97,186
"PVP01_API04500",0,0,0,0
"PVP01_1335600",8,0,3,1
"PVP01_1309200",1886,1527,2103,2239
"PVP01_1238000",3135,2825,5406,3337
"PVP01_1331400",240,33,351,487
"PVP01_0710800",509,743,592,595
"PVP01_0107300",32,17,21,17
"PVP01_0830600",499,442,366,589
"PVP01_1338100",18,9,6,7
"PVP01_MIT02500",11,22,73,42
"PVP01_0820200",2545,1886,2120,2384
"PVP01_1204100",252,174,138,238
"PVP01_0010160",0,0,0,0
"PVP01_0004880",0,0,0,0
"PVP01_1324800",108,176,138,120
"PVP01_0909300",1755,1133,1814,1152
"PVP01_1471900",3536,1995,1660,3060
"PVP01_0525900",924,1329,1146,1483
"PVP01_0010670",0,0,0,0
"PVP01_1449000",793,1132,1135,859
"PVP01_0605200",1153,1044,2023,2078
"PVP01_1225100",343,302,278,301
"PVP01_1242800",18,7,8,18
"PVP01_0947700",0,0,0,0
"PVP01_0009330",0,0,0,0
"PVP01_0000740",0,0,0,0
"PVP01_0121000",0,0,0,0
"PVP01_0005060",0,0,0,0
"PVP01_0514600",15721,12806,12088,14295
"PVP01_0523800",761,592,670,801
"PVP01_1015300",13250,17657,18392,17354
"PVP01_0001570",0,0,0,0
"PVP01_0838600",2027,1532,2711,1289
"PVP01_1123400",91,52,217,86
"PVP01_1007500",0,0,0,1
"PVP01_1310300",39,71,16,75
"PVP01_0526800",12049,13742,14253,12870
"PVP01_0732000",213,210,596,303
"PVP01_0609600",828,575,204,375
"PVP01_1428600",1203,1056,890,1099
"PVP01_0510800",542,386,455,692
"PVP01_0010110",0,0,0,0
"PVP01_0005800",0,0,0,0
"PVP01_1116000",67,63,141,90
"PVP01_1304900",3391,4391,3627,4255
"PVP01_0005920",0,0,0,0
"PVP01_1128100",664,891,899,960
"PVP01_1457600",1551,1479,1154,2130
"PVP01_1321900",165,54,181,98
"PVP01_0010710",0,0,0,0
"PVP01_0009860",0,0,0,0
"PVP01_0516900",2885,1794,2175,2556
"PVP01_0708900",2918,2688,2223,2446
"PVP01_1263800",12,20,23,14
"PVP01_0816300",1048,790,854,777
"PVP01_1346600",8,5,12,11
"PVP01_0004310",0,0,0,0
"PVP01_0615900",52,46,46,98
"PVP01_1130500",50092,63459,65851,68677
"PVP01_0810700",8,2,4,8
"PVP01_0002210",0,0,0,0
"PVP01_0004810",0,0,0,0
"PVP01_1241300",5273,4133,6948,4441
"PVP01_0217200",114,70,116,68
"PVP01_0409800",1066,911,1034,1249
"PVP01_1249600",224,124,266,242
"PVP01_1226300",0,2,3,5
"PVP01_0942400",864,594,617,836
"PVP01_0609500",1744,744,751,939
