"file_original","file_filtered","records_in_original","records_in_filtered"
"SAMEA4497164_output.bam","SAMEA4497164_output_filtered.bam",80490554,29033433
"SAMEA4497165_output.bam","SAMEA4497165_output_filtered.bam",77207047,27048256
"SAMEA4497166_output.bam","SAMEA4497166_output_filtered.bam",95802004,31163154
"SAMEA4497167_output.bam","SAMEA4497167_output_filtered.bam",95929775,31409780
