SAMEA4497164_output_filtered.bam,SAMEA4497165_output_filtered.bam,SAMEA4497166_output_filtered.bam,SAMEA4497167_output_filtered.bam,gene_id
207.14871781913237,136.12395329440793,156.9822384392247,223.2122750453401,PVP01_1114900
148.46390616771555,135.7007291589641,93.30157641202433,164.02589274161136,PVP01_0706500
200.69805430575687,185.22565877680293,192.31738771550172,134.9632632920076,PVP01_0927400
62.14713554932468,73.31627547448419,38.83360703362466,65.43514958626324,PVP01_1016800
55.54794807930917,31.632100421788707,67.09401874887888,49.247813016615495,PVP01_1332200
3.4145170842537524,4.921062645672954,28.868534967740434,2.362948632020663,PVP01_1400600
6.738278011992457,6.893499913826946,22.98435092906253,14.180160590485759,PVP01_1016500
21.22225582506221,16.59617090412273,20.720148955956613,23.767163353007447,PVP01_0516500
0,0,0,0,PVP01_API00500
0.2693974244873969,0,0.20420399965635358,0.10204651282081714,PVP01_1462500
441.52923110934216,530.082606192152,385.08379893090597,426.10717667358097,PVP01_1230500
19.462421567547512,8.753937201949688,38.62729092736216,12.105364955996171,PVP01_1260000
313.4602338289416,284.71027305077973,304.72753081346826,406.2065648181358,PVP01_0414400
24.48965557046721,17.88276271718948,29.867756703118694,22.121050521157784,PVP01_1256000
190.53433130624552,133.4456833097325,213.82890155098428,196.34529040071624,PVP01_1236000
0,0,0,0,PVP01_0424400
0,0,0,0,PVP01_0010660
27.14510129353412,14.531029291377878,10.857877315061062,15.085017167963489,PVP01_1471500
484.05471487961216,407.3622479777919,387.12495538812755,666.7981841705592,PVP01_1215100
0,0,0,0,PVP01_0840600
0,0,0,0,PVP01_0008840
43.13860301783563,46.70983345157672,74.13053076070779,73.34748541337045,PVP01_0211000
0,0,0,0,PVP01_0004500
139.67078804091125,197.9305876555579,134.1724862304923,170.81731019351352,PVP01_0603100
60.889653257425785,47.69687307095768,99.07948575384087,67.46121815071494,PVP01_1314000
316.35641776619883,266.53113000339795,409.8268353054944,364.93507089156503,PVP01_0935300
134.09031980175013,84.95429512055446,118.17158017849249,111.88681806292907,PVP01_0702000
0,0,0,0,PVP01_0001160
0,0,0,0,PVP01_0001310
474.77253883333196,751.6145929784232,578.6137918095932,801.909808020617,PVP01_1249300
8.672885314813621,6.255397029779565,2.5950281348159914,6.224682900053476,PVP01_0317800
30.814479873281826,8.476742307032294,15.409436569812783,25.837308565270728,PVP01_1131900
0,0,0,0,PVP01_0002780
249.80708593366165,270.144447797015,259.54557799018784,243.16881392178544,PVP01_1214200
4.457541774932928,1.8909226082397677,3.426642725940763,3.0265502339052115,PVP01_1449900
34.30358331358409,13.212425734638934,71.44662643089198,8.517435108233197,PVP01_1146200
0,0,0,0,PVP01_0002300
300.22736064955103,259.1502621820995,325.2091751772987,259.78803513698625,PVP01_1103600
1317.3344438645654,1228.7994200918797,1011.5196920316614,1366.7961018145747,PVP01_0724800
96.94293587124774,67.48373599851641,132.87314503955122,129.0066231067898,PVP01_1239200
1.7026811492912983,1.5012303971364132,5.124588339923761,1.2330267441253924,PVP01_1470800
9.268006958474269,10.804503754134512,15.026069053211549,13.360082702411422,PVP01_1001200
62.95482549574501,53.829264952421276,57.93409854328181,53.86758904490232,PVP01_0930400
