Mixture,Rings,Trophozoites 30,Trophozoites 36,Schizonts,P-value,Correlation,RMSE
SAMEA4497164,0,0,0.703917065065582,0.296082934934418,0.52,0.00411456940674014,1.31448292462586
SAMEA4497165,0,0,0.509822429507274,0.490177570492726,0.46,0.0108067557344671,1.30324406969734
SAMEA4497166,0,0,0.164073201894472,0.835926798105528,0.45,0.0114790621753276,1.32572604916165
SAMEA4497167,0,0,0.632846561701542,0.367153438298458,0.52,0.00407766343435802,1.31032368850777
