gene_id	Rings	Trophozoites 30	Trophozoites 36	Schizonts
PVP01_0418300	100	100	100	100
PVP01_0420900	100	100	100	1154
PVP01_0421000	100	100	100	100
PVP01_0422000	100	100	100	148
PVP01_0505600	100	100	100	100
PVP01_0506500	100	100	100	100
PVP01_0506600	100	100	373	1
PVP01_0510500	100	100	432	1
PVP01_0511400	100	100	1	300
PVP01_0512900	100	100	100	1296
PVP01_0513300	100	100	459	1
PVP01_0513400	100	100	241	100
PVP01_0516800	100	100	100	100
PVP01_0517600	100	100	1	311
PVP01_0517700	100	100	100	100
PVP01_0517800	100	100	100	100
PVP01_0519500	100	100	100	100
PVP01_0519800	100	100	286	1
PVP01_0520000	100	100	906	1
PVP01_0520100	100	100	100	100
PVP01_0520400	100	100	392	1
PVP01_0521900	100	100	100	100
PVP01_0522300	100	100	100	100
PVP01_0522400	3245	100	100	1
PVP01_0525800	100	100	100	100
PVP01_0528000	100	100	100	141
PVP01_0528800	100	100	154	1
PVP01_0529100	100	100	100	100
PVP01_0529800	100	100	100	100
PVP01_0530100	100	100	548	1
PVP01_0530900	100	100	100	100
PVP01_0531800	100	100	1	446
PVP01_0532300	100	100	2729	1
PVP01_0602300	100	100	100	100
PVP01_0603400	100	100	100	100
PVP01_0604900	100	100	321	100
PVP01_0607000	100	100	100	100
PVP01_0607600	100	100	100	100
PVP01_0610000	100	100	100	100
PVP01_0611900	2450	100	100	1
PVP01_0612400	100	100	100	100
PVP01_0613800	100	100	100	100
PVP01_0614700	100	100	100	100
PVP01_0615000	100	100	100	100
PVP01_0616300	100	100	100	100
PVP01_0618300	100	100	995	1
PVP01_0618800	100	100	100	100
PVP01_0619000	100	100	100	100
PVP01_0621300	100	100	100	100
PVP01_0622400	100	100	100	100
PVP01_0701700	100	100	100	100
PVP01_0702000	100	100	1	342
PVP01_0703100	100	100	1723	1
PVP01_0703800	100	100	100	100
PVP01_0705900	100	100	480	1
PVP01_0708100	100	100	530	1
PVP01_0708700	100	100	100	100
PVP01_0709600	100	100	100	100
PVP01_0712500	100	100	100	159
PVP01_0714400	100	100	1	202
PVP01_0716400	100	100	100	100
PVP01_0717100	100	100	100	100
PVP01_0718000	100	100	100	100
PVP01_0718300	100	100	100	100
PVP01_0718600	100	100	100	100
PVP01_0719100	100	100	100	100
PVP01_0721000	789	100	100	1
PVP01_0723100	100	100	156	1
PVP01_0725000	100	100	219	1
PVP01_0727900	100	100	100	100
PVP01_0728700	100	100	100	100
PVP01_0728900	100	100	100	100
PVP01_0729100	100	100	1	248
PVP01_0730800	100	100	100	100
PVP01_0730900	100	100	100	100
PVP01_0733500	100	100	1	676
