GeneID	Rings	Trophozoites 30	Trophozoites 36	Schizonts
PVP01_0712500	1	1	1	159
PVP01_0714400	1	1	1	202
PVP01_0716400	1	1	"1,202"	"1,185"
PVP01_0717100	1	1	1	1
PVP01_0718000	1	1	1	1
PVP01_0718300	1	136	680	269
PVP01_0718600	1	1	444	703
PVP01_0719100	1	1	1	1
PVP01_0721000	789	1	1	1
PVP01_0723100	1	1	156	1
PVP01_0725000	1	1	219	1
PVP01_0727900	1	1	"1,192"	"1,112"
PVP01_0728700	1	1	1	1
PVP01_0728900	1	869	"6,802"	"15,591"
PVP01_0729100	1	1	1	248
PVP01_0730800	1	1	280	460
PVP01_0730900	1	1	"1,673"	"2,530"
PVP01_0733500	1	1	1	676
PVP01_0733900	1	467	276	1
PVP01_0803300	1	1	1	1
PVP01_0803400	1	1	1	"1,106"
PVP01_0803800	"1,139"	"4,087"	"1,299"	1
PVP01_0806900	1	1	1	1
PVP01_0808200	1	1	284	1
PVP01_0810400	1	1	1	1
PVP01_0812300	1	1	1	1
PVP01_0812500	"3,914"	"1,695"	1	1
PVP01_0813900	1	1	1	450
PVP01_0814200	1	1	1	1
PVP01_0816000	"2,014"	"2,197"	1	1
PVP01_0816100	1	1	1	1
PVP01_0816800	1	1	1	1
PVP01_0817300	"2,478"	"2,142"	1	1
PVP01_0817800	785	1	1	1
PVP01_0818200	"2,244"	1	1	1
PVP01_0819300	1	1	"4,389"	"4,023"
PVP01_0822900	1	280	873	302
PVP01_0823200	1	1	1	1
PVP01_0823300	1	900	1	1
PVP01_0823800	1	1	941	1
PVP01_0824100	1	1	1	1
PVP01_0827400	"6,651"	"3,010"	"2,558"	1
PVP01_0829800	1	1	"1,226"	1
PVP01_0829900	1	1	1	1
PVP01_0830600	"8,504"	"7,855"	"3,523"	1
PVP01_0831000	1	1	336	1
PVP01_0832100	1	1	231	82
PVP01_0832500	1	252	446	198
PVP01_0833000	"1,977"	"1,535"	354	1
PVP01_0833200	1	1	1	1
PVP01_0834600	1	1	503	1
PVP01_0835800	"1,590"	1	1	1
PVP01_0837000	1	1	574	593
PVP01_0903900	"6,400"	"3,717"	1	1
PVP01_0905100	1	333	1	1
PVP01_0905200	1	1	768	1
PVP01_0905700	1	1	1	1
PVP01_0905800	"5,600"	"1,278"	"14,161"	"10,477"
PVP01_0906200	1	"1,263"	1	1
PVP01_0908600	1	1	1	358
PVP01_0908900	1	1	1	1
PVP01_0909400	1	"2,816"	"4,515"	1
